"filename", "language", "JSON", "Log", "JavaScript", "HTML", "SCSS", "Markdown", "comment", "blank", "total"
"c:\Users\User\Desktop\cmder\PersonalSite\README.md", "Markdown", 0, 0, 0, 0, 0, 45, 0, 35, 80
"c:\Users\User\Desktop\cmder\PersonalSite\debug.log", "Log", 0, 4, 0, 0, 0, 0, 0, 1, 5
"c:\Users\User\Desktop\cmder\PersonalSite\package-lock.json", "JSON", 15894, 0, 0, 0, 0, 0, 0, 1, 15895
"c:\Users\User\Desktop\cmder\PersonalSite\package.json", "JSON", 47, 0, 0, 0, 0, 0, 0, 1, 48
"c:\Users\User\Desktop\cmder\PersonalSite\public\background-images\favicon_io\site.webmanifest", "JSON", 1, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\User\Desktop\cmder\PersonalSite\public\index.html", "HTML", 0, 0, 0, 33, 0, 0, 1, 2, 36
"c:\Users\User\Desktop\cmder\PersonalSite\src\Components\AboutMePage.jsx", "JavaScript", 0, 0, 59, 0, 0, 0, 0, 3, 62
"c:\Users\User\Desktop\cmder\PersonalSite\src\Components\App.js", "JavaScript", 0, 0, 22, 0, 0, 0, 2, 4, 28
"c:\Users\User\Desktop\cmder\PersonalSite\src\Components\ContactPage.jsx", "JavaScript", 0, 0, 51, 0, 0, 0, 0, 5, 56
"c:\Users\User\Desktop\cmder\PersonalSite\src\Components\Dropdown.jsx", "JavaScript", 0, 0, 135, 0, 0, 0, 1, 10, 146
"c:\Users\User\Desktop\cmder\PersonalSite\src\Components\Footer.jsx", "JavaScript", 0, 0, 27, 0, 0, 0, 1, 4, 32
"c:\Users\User\Desktop\cmder\PersonalSite\src\Components\Home.jsx", "JavaScript", 0, 0, 27, 0, 0, 0, 0, 3, 30
"c:\Users\User\Desktop\cmder\PersonalSite\src\Components\HomePageSections\HomeSectionOne.jsx", "JavaScript", 0, 0, 29, 0, 0, 0, 2, 4, 35
"c:\Users\User\Desktop\cmder\PersonalSite\src\Components\HomePageSections\HomeSectionThree.jsx", "JavaScript", 0, 0, 48, 0, 0, 0, 3, 6, 57
"c:\Users\User\Desktop\cmder\PersonalSite\src\Components\HomePageSections\HomeSectionTwo.jsx", "JavaScript", 0, 0, 192, 0, 0, 0, 0, 3, 195
"c:\Users\User\Desktop\cmder\PersonalSite\src\Components\Navigation.jsx", "JavaScript", 0, 0, 62, 0, 0, 0, 0, 5, 67
"c:\Users\User\Desktop\cmder\PersonalSite\src\Components\pageTransition.js", "JavaScript", 0, 0, 12, 0, 0, 0, 1, 2, 15
"c:\Users\User\Desktop\cmder\PersonalSite\src\index.js", "JavaScript", 0, 0, 11, 0, 0, 0, 0, 2, 13
"c:\Users\User\Desktop\cmder\PersonalSite\src\sass\abstracts\_utilities.scss", "SCSS", 0, 0, 0, 0, 39, 0, 1, 10, 50
"c:\Users\User\Desktop\cmder\PersonalSite\src\sass\abstracts\_variables.scss", "SCSS", 0, 0, 0, 0, 14, 0, 2, 4, 20
"c:\Users\User\Desktop\cmder\PersonalSite\src\sass\base\_base.scss", "SCSS", 0, 0, 0, 0, 0, 0, 8, 1, 9
"c:\Users\User\Desktop\cmder\PersonalSite\src\sass\components\_button.scss", "SCSS", 0, 0, 0, 0, 93, 0, 1, 13, 107
"c:\Users\User\Desktop\cmder\PersonalSite\src\sass\components\_dropdown.scss", "SCSS", 0, 0, 0, 0, 123, 0, 6, 17, 146
"c:\Users\User\Desktop\cmder\PersonalSite\src\sass\components\_footer.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\User\Desktop\cmder\PersonalSite\src\sass\components\_navigation.scss", "SCSS", 0, 0, 0, 0, 12, 0, 1, 3, 16
"c:\Users\User\Desktop\cmder\PersonalSite\src\sass\components\_scrollbar.scss", "SCSS", 0, 0, 0, 0, 14, 0, 2, 3, 19
"c:\Users\User\Desktop\cmder\PersonalSite\src\sass\layout\_footer.scss", "SCSS", 0, 0, 0, 0, 33, 0, 1, 7, 41
"c:\Users\User\Desktop\cmder\PersonalSite\src\sass\layout\_home-section-one.scss", "SCSS", 0, 0, 0, 0, 67, 0, 3, 10, 80
"c:\Users\User\Desktop\cmder\PersonalSite\src\sass\layout\_home-section-three.scss", "SCSS", 0, 0, 0, 0, 56, 0, 3, 15, 74
"c:\Users\User\Desktop\cmder\PersonalSite\src\sass\layout\_home-section-two.scss", "SCSS", 0, 0, 0, 0, 72, 0, 3, 12, 87
"c:\Users\User\Desktop\cmder\PersonalSite\src\sass\layout\_navigation.scss", "SCSS", 0, 0, 0, 0, 12, 0, 1, 3, 16
"c:\Users\User\Desktop\cmder\PersonalSite\src\sass\main.scss", "SCSS", 0, 0, 0, 0, 13, 0, 0, 5, 18
"c:\Users\User\Desktop\cmder\PersonalSite\src\sass\pages\_about-me.scss", "SCSS", 0, 0, 0, 0, 181, 0, 2, 9, 192
"c:\Users\User\Desktop\cmder\PersonalSite\src\sass\pages\_contact.scss", "SCSS", 0, 0, 0, 0, 277, 0, 8, 13, 298
"Total", "-", 15942, 4, 675, 33, 1006, 45, 53, 217, 17975
